Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.8389830508474576,0.847457627118644,1119.347584247589,0.459888914884147,0.8546314691439272,0.847457627118644,0.8476803203720381
EfficientNetB0,0.8686440677966102,0.8707627118644068,5943.37520980835,0.4731061973814237,0.8732906399226973,0.8707627118644068,0.8707556308309435
MobileNetV3_Small,0.826271186440678,0.826271186440678,1991.8432052135468,0.48821198081566114,0.8296524420911908,0.826271186440678,0.8264271588551215
