Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
InceptionV3,0.8877118644067796,0.8686440677966102,11109.004873037338,0.5030682026329687,0.8734068540136587,0.8686440677966102,0.8685596201684262
DenseNet121,0.8580508474576272,0.8538135593220338,7594.436702013016,0.4103410736484043,0.8572629385261948,0.8538135593220338,0.8538709874798218
ShuffleNetV2,0.8389830508474576,0.8326271186440678,1470.1125738620758,0.46231021972025854,0.8398491692479547,0.8326271186440678,0.8317451107060947
