Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.8888140161725068,0.8747474747474747,3010.7495198249817,0.5036741123456345,0.8755696571259616,0.8747474747474747,0.87360982491844
EfficientNetB0,0.9056603773584906,0.8888888888888888,15024.278937578201,0.44308514173584757,0.8886472523493865,0.8888888888888888,0.8883864469546233
MobileNetV3_Small,0.8564690026954178,0.8444444444444444,3346.4327483177185,0.44795169424930403,0.8435800979289168,0.8444444444444444,0.8430076929044129
