Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.8545197740112994,0.827683615819209,775.436751127243,0.4785173989958682,0.8282308102619165,0.827683615819209,0.8275267224873374
EfficientNetB0,0.8757062146892656,0.8587570621468926,4636.5270228385925,0.4629084946072034,0.8610502864829206,0.8587570621468926,0.8592141560961661
MobileNetV3_Small,0.8545197740112994,0.8163841807909604,2437.440361022949,0.5445801354734238,0.8163495945372701,0.8163841807909604,0.816277692759581
