Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.87906446092413,0.878062678062678,4638.350125789642,0.4596177329365005,0.8771540949151673,0.878062678062678,0.8768169999823309
EfficientNetB0,0.9047347404449515,0.8888888888888888,25647.188742160797,0.45823431456530533,0.8883745182060779,0.8888888888888888,0.8883951473753504
MobileNetV3_Small,0.865373645179692,0.8541310541310542,3437.9968404769897,0.4983946426981195,0.8545937308908266,0.8541310541310542,0.8525061567119945
