Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.8803630363036303,0.8639736191261336,3708.704448223114,0.5185198082426611,0.8649995388762657,0.8639736191261336,0.8637182551825915
EfficientNetB0,0.8886138613861386,0.8664468260511129,11931.853723049164,0.4758609787262331,0.8682325727460379,0.8664468260511129,0.8659105147600097
MobileNetV3_Small,0.8646864686468647,0.8425391591096455,3911.793298959732,0.49661811165394903,0.8453121927048287,0.8425391591096455,0.8414894108487133
