Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
InceptionV3,0.886963696369637,0.8779884583676835,8840.838601827621,0.561820949600535,0.880647117387232,0.8779884583676835,0.8782991018883048
DenseNet121,0.8853135313531353,0.8763396537510305,13626.9480240345,0.38367225796057974,0.8768124377740817,0.8763396537510305,0.8759632174515587
ShuffleNetV2,0.8696369636963697,0.8450123660346249,3302.5649631023407,0.4544511893172944,0.8490577817954392,0.8450123660346249,0.8454890936004577
