Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg),Test Precision (normal),Test Recall (normal),Test F1-Score (normal),Test Precision (hentai),Test Recall (hentai),Test F1-Score (hentai),Test Precision (porn),Test Recall (porn),Test F1-Score (porn),Test Precision (sexy),Test Recall (sexy),Test F1-Score (sexy),Test Precision (anime),Test Recall (anime),Test F1-Score (anime)
ResNet18,0.8601694915254238,0.8686440677966102,115.44517660140991,0.492848501367084,0.8734249648054286,0.8686440677966102,0.8682403709539442,0.8947368421052632,0.9042553191489362,0.8994708994708994,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8787878787878788,0.90625,0.8923076923076924,0.9210526315789473,0.7526881720430108,0.8284023668639053,0.7837837837837838,0.9157894736842105,0.8446601941747572
EfficientNetB0,0.8686440677966102,0.8686440677966102,460.19057416915894,0.4945911835815947,0.8693197590056979,0.8686440677966102,0.8685147575676905,0.9139784946236559,0.9042553191489362,0.9090909090909091,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.8947368421052632,0.8854166666666666,0.8900523560209425,0.8390804597701149,0.7849462365591398,0.8111111111111111,0.8155339805825242,0.8842105263157894,0.8484848484848485
MobileNetV3_Small,0.8305084745762712,0.8305084745762712,3665.9280982017517,0.5005238207720094,0.8311902876013557,0.8305084745762712,0.8301108565120009,0.8617021276595744,0.8617021276595744,0.8617021276595744,0.82,0.8723404255319149,0.845360824742268,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8433734939759037,0.7526881720430108,0.7954545454545454,0.797979797979798,0.8315789473684211,0.8144329896907216
