Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.863036303630363,0.8474855729596042,1725.4505784511566,0.4923505183594932,0.8480926673738607,0.8474855729596042,0.8470521318052224
EfficientNetB0,0.8935643564356436,0.875515251442704,10379.419180393219,0.4414790185062431,0.8766892306934888,0.875515251442704,0.8751606968251552
MobileNetV3_Small,0.8646864686468647,0.8483099752679307,3144.5151081085205,0.4375324217819126,0.8494924260305731,0.8483099752679307,0.8470718995214493
