hentai_thresh_pct,porn_thresh_pct,precision,recall,f1,accuracy,tpr,fpr,specificity,tp,fp,tn,fn
72,3,0.8425448729340679,0.9556541019955654,0.8955421231582924,0.9309311184662462,0.9556541019955654,0.08016648570394498,0.919833514296055,4741,886,10166,220
72,4,0.8714259361741377,0.9522273735134046,0.9100366018108265,0.9416723911821645,0.9522273735134046,0.06306550850524792,0.936934491494752,4724,697,10355,237
72,5,0.8802015301362195,0.9508163676678089,0.9141472868217054,0.9446699556610254,0.9508163676678089,0.05808903365906623,0.9419109663409337,4717,642,10410,244
72,6,0.8848826291079812,0.9498085063495263,0.9161967723118802,0.9461687379004559,0.9498085063495263,0.055465074194715885,0.9445349258052841,4712,613,10439,249
72,7,0.8993686627128372,0.9475912114493046,0.9228504122497055,0.9509148816586523,0.9475912114493046,0.04759319580166486,0.9524068041983351,4701,526,10526,260
72,8,0.9034800999807729,0.9471880669219915,0.924817949222594,0.9522887653781302,0.9471880669219915,0.04542164314151285,0.9545783568584871,4699,502,10550,262
72,9,0.9046610169491526,0.9467849223946785,0.9252437703141928,0.9526010116780116,0.9467849223946785,0.04478827361563518,0.9552117263843648,4697,495,10557,264
72,10,0.9064067927441143,0.9467849223946785,0.9261559696342304,0.9532255042777743,0.9467849223946785,0.04388346000723851,0.9561165399927615,4697,485,10567,264
72,11,0.906913866357667,0.946583350131022,0.9263240950784101,0.9533504027977269,0.946583350131022,0.043612015924719506,0.9563879840752805,4696,482,10570,265
72,12,0.9077369439071566,0.9459786333400524,0.9264633303721252,0.9534753013176794,0.9459786333400524,0.04315960912052117,0.9568403908794788,4693,477,10575,268
72,13,0.9082639829688407,0.9459786333400524,0.92673775671406,0.9536626490976082,0.9459786333400524,0.04288816503800217,0.9571118349619978,4693,474,10578,268
72,14,0.9082639829688407,0.9459786333400524,0.92673775671406,0.9536626490976082,0.9459786333400524,0.04288816503800217,0.9571118349619978,4693,474,10578,268
72,15,0.9082639829688407,0.9459786333400524,0.92673775671406,0.9536626490976082,0.9459786333400524,0.04288816503800217,0.9571118349619978,4693,474,10578,268
72,16,0.9107908063887806,0.9425519048578915,0.9263992075284794,0.9536001998376319,0.9425519048578915,0.0414404632645675,0.9585595367354325,4676,458,10594,285
72,17,0.9114664586583463,0.9421487603305785,0.9265536723163841,0.9537250983575845,0.9421487603305785,0.04107853782120883,0.9589214621787912,4674,454,10598,287
72,18,0.9133411580594679,0.9411408990122959,0.9270326615705351,0.954099793917442,0.9411408990122959,0.04008324285197249,0.9599167571480275,4669,443,10609,292
72,19,0.9133411580594679,0.9411408990122959,0.9270326615705351,0.954099793917442,0.9411408990122959,0.04008324285197249,0.9599167571480275,4669,443,10609,292
72,20,0.9196921862667718,0.9395283209030437,0.9295044371323162,0.9558483731967776,0.9395283209030437,0.03682591386174448,0.9631740861382555,4661,407,10645,300
72,21,0.936376489598061,0.9344890143116307,0.9354317998385795,0.9600324736151876,0.9344890143116307,0.028501628664495113,0.9714983713355049,4636,315,10737,325
72,22,0.9452278765583486,0.932271719411409,0.9387050943779175,0.9622806469743334,0.932271719411409,0.024249004705030764,0.9757509952949692,4625,268,10784,336
72,23,0.9452278765583486,0.932271719411409,0.9387050943779175,0.9622806469743334,0.932271719411409,0.024249004705030764,0.9757509952949692,4625,268,10784,336
72,24,0.9452278765583486,0.932271719411409,0.9387050943779175,0.9622806469743334,0.932271719411409,0.024249004705030764,0.9757509952949692,4625,268,10784,336
72,25,0.9463224749026838,0.9310622858294698,0.9386303596829912,0.9622806469743334,0.9310622858294698,0.02370611653999276,0.9762938834600072,4619,262,10790,342
72,26,0.9466994669946699,0.9308607135658133,0.9387132838703119,0.9623430962343096,0.9308607135658133,0.023525153818313427,0.9764748461816866,4618,260,10792,343
72,27,0.9485808309337721,0.9296512799838742,0.9390206657843835,0.9625928932742147,0.9296512799838742,0.022620340209916757,0.9773796597900832,4612,250,10802,349
72,28,0.9485808309337721,0.9296512799838742,0.9390206657843835,0.9625928932742147,0.9296512799838742,0.022620340209916757,0.9773796597900832,4612,250,10802,349
72,29,0.9508467575382074,0.928038701874622,0.9393042946036927,0.9628426903141197,0.928038701874622,0.021534563879840752,0.9784654361201592,4604,238,10814,357
72,30,0.951996689426857,0.9274339850836525,0.9395548294874414,0.9630300380940486,0.9274339850836525,0.02099167571480275,0.9790083242851972,4601,232,10820,360
72,31,0.951996689426857,0.9274339850836525,0.9395548294874414,0.9630300380940486,0.9274339850836525,0.02099167571480275,0.9790083242851972,4601,232,10820,360
72,32,0.951996689426857,0.9274339850836525,0.9395548294874414,0.9630300380940486,0.9274339850836525,0.02099167571480275,0.9790083242851972,4601,232,10820,360
72,33,0.9579673776662484,0.9234025398105221,0.9403674432926203,0.9637169799537876,0.9234025398105221,0.018186753528773074,0.9818132464712269,4581,201,10851,380
72,34,0.9607390300230947,0.9223946784922394,0.9411764705882353,0.964279023293574,0.9223946784922394,0.016920014477017735,0.9830799855229823,4576,187,10865,385
72,35,0.9607390300230947,0.9223946784922394,0.9411764705882353,0.964279023293574,0.9223946784922394,0.016920014477017735,0.9830799855229823,4576,187,10865,385
72,36,0.9607390300230947,0.9223946784922394,0.9411764705882353,0.964279023293574,0.9223946784922394,0.016920014477017735,0.9830799855229823,4576,187,10865,385
72,37,0.9613201597645575,0.9217899617012699,0.9411401522947108,0.964279023293574,0.9217899617012699,0.016648570394498734,0.9833514296055013,4573,184,10868,388
72,38,0.9621052631578947,0.9211852449103003,0.9412007002368448,0.9643414725535503,0.9211852449103003,0.016286644951140065,0.9837133550488599,4570,180,10872,391
72,39,0.9626975763962066,0.9207821003829874,0.9412734391098291,0.9644039218135265,0.9207821003829874,0.016015200868621064,0.9839847991313789,4568,177,10875,393
72,40,0.9643008027038446,0.9201773835920177,0.9417225373904075,0.9647161681134079,0.9201773835920177,0.015291349981903728,0.9847086500180963,4565,169,10883,396
72,41,0.9661088752382969,0.9193710945373916,0.942160710596984,0.9650284144132892,0.9193710945373916,0.014477017734346724,0.9855229822656533,4561,160,10892,400
72,42,0.9661088752382969,0.9193710945373916,0.942160710596984,0.9650284144132892,0.9193710945373916,0.014477017734346724,0.9855229822656533,4561,160,10892,400
72,43,0.9661016949152542,0.9191695222737352,0.9420514409668422,0.9649659651533129,0.9191695222737352,0.014477017734346724,0.9855229822656533,4560,160,10892,401
72,44,0.9661016949152542,0.9191695222737352,0.9420514409668422,0.9649659651533129,0.9191695222737352,0.014477017734346724,0.9855229822656533,4560,160,10892,401
72,45,0.9661016949152542,0.9191695222737352,0.9420514409668422,0.9649659651533129,0.9191695222737352,0.014477017734346724,0.9855229822656533,4560,160,10892,401
