tn,fp,fn,tp,precision,recall,f1,accuracy,fpr,specificity,threshold_pct
10672,380,1806,3155,0.8925035360678925,0.6359604918363233,0.7427024482109228,0.8634859176918753,0.03438291711907347,0.9656170828809265,20
10766,286,1860,3101,0.9155594921759669,0.6250755895988712,0.7429324389075228,0.8659838880909261,0.02587766920014477,0.9741223307998552,21
10813,239,1885,3076,0.9279034690799397,0.6200362830074582,0.7433542774287095,0.8673577718104041,0.02162504524068042,0.9783749547593196,22
10813,239,1885,3076,0.9279034690799397,0.6200362830074582,0.7433542774287095,0.8673577718104041,0.02162504524068042,0.9783749547593196,23
10813,239,1885,3076,0.9279034690799397,0.6200362830074582,0.7433542774287095,0.8673577718104041,0.02162504524068042,0.9783749547593196,24
10819,233,1892,3069,0.9294367050272562,0.6186252771618626,0.7428294808181048,0.8672953225504277,0.021082157075642417,0.9789178429243576,25
10821,231,1895,3066,0.9299363057324841,0.6180205603708929,0.7425526761927828,0.8672328732904515,0.020901194353963082,0.9790988056460369,26
10831,221,1901,3060,0.9326424870466321,0.6168111267889539,0.7425382188789129,0.8674826703303565,0.019996380745566412,0.9800036192544336,27
10831,221,1901,3060,0.9326424870466321,0.6168111267889539,0.7425382188789129,0.8674826703303565,0.019996380745566412,0.9800036192544336,28
10843,209,1914,3047,0.9358108108108109,0.614190687361419,0.7416331994645248,0.8674202210703803,0.01891060441549041,0.9810893955845096,29
10849,203,1920,3041,0.937422934648582,0.61298125377948,0.7412553321145643,0.8674202210703803,0.018367716250452408,0.9816322837495476,30
10849,203,1920,3041,0.937422934648582,0.61298125377948,0.7412553321145643,0.8674202210703803,0.018367716250452408,0.9816322837495476,31
10849,203,1920,3041,0.937422934648582,0.61298125377948,0.7412553321145643,0.8674202210703803,0.018367716250452408,0.9816322837495476,32
10881,171,1955,3006,0.9461756373937678,0.6059262245515017,0.7387564512165151,0.8672328732904515,0.015472312703583062,0.9845276872964169,33
10895,157,1965,2996,0.9502061528702823,0.6039105019149366,0.7384767069263002,0.8674826703303565,0.014205573651827723,0.9857944263481723,34
10895,157,1965,2996,0.9502061528702823,0.6039105019149366,0.7384767069263002,0.8674826703303565,0.014205573651827723,0.9857944263481723,35
10895,157,1965,2996,0.9502061528702823,0.6039105019149366,0.7384767069263002,0.8674826703303565,0.014205573651827723,0.9857944263481723,36
10898,154,1968,2993,0.9510645058786146,0.6033057851239669,0.7382831771090281,0.8674826703303565,0.013934129569308722,0.9860658704306913,37
10902,150,1973,2988,0.9521988527724665,0.6022979238056844,0.7378688727003334,0.8674202210703803,0.013572204125950055,0.9864277958740499,38
10905,147,1977,2984,0.9530501437240498,0.6014916347510583,0.7375185368264953,0.8673577718104041,0.013300760043431054,0.9866992399565689,39
10913,139,1981,2980,0.9554344341134979,0.6006853456964322,0.7376237623762376,0.8676075688503091,0.012576909156713717,0.9874230908432863,40
