predicted,observed,n
0.006456276765643562,0.011450381679389313,10480
0.1606661220588126,0.25268817204301075,186
0.22711851963038956,0.27848101265822783,316
0.3329608555142906,0.3373493975903614,166
0.4523841656750127,0.6037735849056604,106
0.5501095550091667,0.5824175824175825,91
0.6344446170897813,0.6888888888888889,180
0.7604548273874658,0.8981132075471698,265
0.8547332398687464,0.8940397350993378,151
0.9850695875330453,0.9911591355599214,4072
