tn,fp,fn,tp,precision,recall,f1,accuracy,fpr,specificity,iter
10913,186,300,4614,0.96125,0.938949938949939,0.9499691167387276,0.9696496596515332,0.01675826651049644,0.9832417334895036,0
10892,222,301,4598,0.953941908713693,0.9385588895692999,0.9461878794114621,0.9673390370324112,0.019974806550296924,0.9800251934497031,1
10861,222,336,4594,0.9539036544850499,0.9318458417849899,0.9427457418428073,0.9651533129332417,0.02003067761436434,0.9799693223856356,2
10891,192,306,4624,0.9601328903654485,0.9379310344827586,0.9489021136876667,0.9689002685318179,0.01732382928809889,0.9826761707119012,3
10875,212,307,4619,0.9561167460153177,0.937677628907836,0.946807420313621,0.9675888340723162,0.019121493641201408,0.9808785063587986,4
10907,215,346,4545,0.9548319327731093,0.9292578204866081,0.9418713086726764,0.9649659651533129,0.019331055565545766,0.9806689444344542,5
10801,223,311,4678,0.9544990818200367,0.9376628582882341,0.9460060667340748,0.9666520951726723,0.02022859216255443,0.9797714078374455,6
10804,196,298,4715,0.9600895947872123,0.9405545581488131,0.9502216848045143,0.969150065571723,0.01781818181818182,0.9821818181818182,7
10861,198,300,4654,0.9591920857378401,0.939442874444893,0.9492147664695084,0.9689002685318179,0.017903969617506104,0.9820960303824939,8
10878,199,302,4634,0.9588247465342438,0.9388168557536467,0.9487153239840311,0.9687129207518891,0.017965153019770697,0.9820348469802294,9
10928,175,329,4581,0.9632043734230445,0.9329938900203666,0.9478584729981379,0.9685255729719603,0.015761505899306492,0.9842384941006935,10
10813,221,296,4683,0.9549347471451876,0.9405503113074914,0.9476879490033391,0.9677137325922688,0.02002900126880551,0.9799709987311945,11
10748,207,339,4719,0.9579780755176613,0.9329774614472124,0.9453125,0.965902704052957,0.018895481515289823,0.9811045184847101,12
10744,208,320,4741,0.9579713073348151,0.9367713890535467,0.9472527472527472,0.9670267907325298,0.018991964937910884,0.9810080350620891,13
10869,178,312,4654,0.9631622516556292,0.93717277486911,0.9499897938354767,0.969399862611628,0.016112971847560425,0.9838870281524396,14
10981,181,311,4540,0.9616606651133235,0.9358895073180787,0.9486000835770999,0.9692749640916755,0.016215731947679626,0.9837842680523203,15
10749,228,310,4726,0.9539765845781187,0.9384432088959491,0.9461461461461461,0.9664022981327671,0.020770702377698826,0.9792292976223012,16
10858,208,284,4663,0.9572982960377746,0.9425914695775217,0.9498879608881646,0.9692749640916755,0.018796313030905475,0.9812036869690945,17
10885,182,309,4637,0.9622328283876322,0.9375252729478366,0.9497183819764465,0.9693374133516518,0.01644528779253637,0.9835547122074636,18
10883,238,272,4620,0.9510086455331412,0.9443990188062142,0.9476923076923077,0.9681508774121027,0.02140095315169499,0.978599046848305,19
10867,194,307,4645,0.9599090721223393,0.9380048465266559,0.9488305586763354,0.9687129207518891,0.01753910134707531,0.9824608986529247,20
10749,226,318,4720,0.9543065103113627,0.9368797141722905,0.9455128205128205,0.9660276025729095,0.020592255125284738,0.9794077448747153,21
10803,214,306,4690,0.9563621533442088,0.9387510008006406,0.9474747474747475,0.96752638481234,0.019424525732958154,0.9805754742670418,22
10812,232,316,4653,0.9525076765609007,0.9364057154357014,0.9443880657600974,0.9657778055330044,0.021006881564650488,0.9789931184353495,23
10922,215,313,4563,0.9550020929259104,0.9358080393765381,0.9453076444996893,0.9670267907325298,0.019305019305019305,0.9806949806949807,24
10756,228,358,4671,0.9534598897734231,0.9288128852654604,0.9409750201450443,0.9634047336539062,0.020757465404224327,0.9792425345957757,25
10737,193,336,4747,0.9609311740890688,0.9338973047412945,0.9472213908011573,0.9669643414725535,0.017657822506861848,0.9823421774931381,26
10917,220,303,4573,0.9540997287711246,0.9378589007383101,0.9459096080256489,0.9673390370324112,0.019753973242345336,0.9802460267576547,27
