tn,fp,fn,tp,precision,recall,f1,accuracy,fpr,specificity,threshold_pct
10847,205,3042,1919,0.9034839924670434,0.38681717395686355,0.5417078334509527,0.7972272528570536,0.018548678972131742,0.9814513210278683,20
10884,168,3094,1867,0.9174447174447175,0.37633541624672445,0.5337335620354489,0.7962905139574096,0.01520086862106406,0.9847991313789359,21
10894,158,3110,1851,0.9213539074166252,0.3731102600282201,0.5311334289813486,0.795915818397552,0.01429605501266739,0.9857039449873326,22
10902,150,3118,1843,0.9247365780230807,0.3714976819189679,0.5300546448087432,0.795915818397552,0.013572204125950055,0.9864277958740499,23
10902,150,3118,1843,0.9247365780230807,0.3714976819189679,0.5300546448087432,0.795915818397552,0.013572204125950055,0.9864277958740499,24
10902,150,3118,1843,0.9247365780230807,0.3714976819189679,0.5300546448087432,0.795915818397552,0.013572204125950055,0.9864277958740499,25
10902,150,3118,1843,0.9247365780230807,0.3714976819189679,0.5300546448087432,0.795915818397552,0.013572204125950055,0.9864277958740499,26
10916,136,3135,1826,0.9306829765545361,0.36807095343680707,0.5275169724108045,0.7957284706176232,0.012305465074194716,0.9876945349258053,27
10916,136,3136,1825,0.9306476287608363,0.3678693811731506,0.527304247327362,0.7956660213576469,0.012305465074194716,0.9876945349258053,28
10918,134,3144,1817,0.9313172731932342,0.3662568030638984,0.5257523148148148,0.7952913257977893,0.012124502352515382,0.9878754976474846,29
10923,129,3159,1802,0.9331952356292077,0.3632332191090506,0.5229251305861868,0.7946668331980266,0.011672095548317047,0.988327904451683,30
10937,115,3169,1792,0.9396958573675931,0.3612174964724854,0.5218404193360513,0.7949166302379317,0.010405356496561708,0.9895946435034383,31
10961,91,3202,1759,0.9508108108108108,0.3545656117718202,0.516517398326237,0.7943545868981453,0.0082338038364097,0.9917661961635903,32
10961,91,3202,1759,0.9508108108108108,0.3545656117718202,0.516517398326237,0.7943545868981453,0.0082338038364097,0.9917661961635903,33
10962,90,3203,1758,0.9512987012987013,0.3543640395081637,0.5163753855191658,0.7943545868981453,0.008143322475570033,0.99185667752443,34
10973,79,3210,1751,0.9568306010928962,0.352953033662568,0.5156825209836549,0.7946043839380503,0.007148027506333695,0.9928519724936663,35
10973,79,3210,1751,0.9568306010928962,0.352953033662568,0.5156825209836549,0.7946043839380503,0.007148027506333695,0.9928519724936663,36
10975,77,3213,1748,0.9578082191780822,0.35234831687159845,0.5151783082817566,0.7945419346780741,0.006967064784654361,0.9930329352153456,37
10975,77,3213,1748,0.9578082191780822,0.35234831687159845,0.5151783082817566,0.7945419346780741,0.006967064784654361,0.9930329352153456,38
10975,77,3213,1748,0.9578082191780822,0.35234831687159845,0.5151783082817566,0.7945419346780741,0.006967064784654361,0.9930329352153456,39
10975,77,3213,1748,0.9578082191780822,0.35234831687159845,0.5151783082817566,0.7945419346780741,0.006967064784654361,0.9930329352153456,40
