post_id,user_id,Electronics_Gadgets,Furniture,Outdoor_Gear,Beauty_Products,Accessories,Male,Female,Other,Age
840001,780010,32.5,0.0,0.0,0.0,0.0,0,1,0,21
840001,840001,5.5,0.0,0.0,0.0,0.0,1,0,0,21
840001,1110001,6.0,0.0,0.0,0.0,0.0,1,0,0,21
840001,1140001,4.5,0.0,0.0,0.0,0.0,1,0,0,21
840001,1200001,3.0,0.0,0.0,0.0,0.0,1,0,0,32
840001,1260005,3.0,0.0,0.0,0.0,0.0,1,0,0,21
840001,1260017,3.0,0.0,0.0,0.0,0.0,1,0,0,20
840001,1260024,3.0,0.0,0.0,0.0,0.0,1,0,0,20
1290002,780010,9.5,0.0,0.0,0.0,0.0,0,1,0,21
1290002,1110001,4.0,0.0,0.0,0.0,0.0,1,0,0,21
1290002,1140001,1.0,0.0,0.0,0.0,0.0,1,0,0,21
1290002,1260024,3.0,0.0,0.0,0.0,0.0,1,0,0,20
1290002,1260005,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1320002,1140001,12.0,0.0,0.0,0.0,0.0,1,0,0,21
1320002,1110001,2.5,0.0,0.0,0.0,0.0,1,0,0,21
1320002,780010,6.5,0.0,0.0,0.0,0.0,0,1,0,21
1320002,1260005,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1320002,1260006,3.0,0.0,0.0,0.0,0.0,0,1,0,21
1320002,1260020,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1320002,1260023,3.0,0.0,0.0,0.0,0.0,0,1,0,31
1380005,780010,6.5,0.0,0.0,0.0,0.0,0,1,0,21
1380005,1200001,0.5,0.0,0.0,0.0,0.0,1,0,0,32
1380005,1140001,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380005,1260005,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380008,1200001,1.0,0.0,0.0,0.0,0.0,1,0,0,32
1380008,780010,5.0,0.0,0.0,0.0,0.0,0,1,0,21
1380008,1140001,1.5,0.0,0.0,0.0,0.0,1,0,0,21
1380008,1260005,1.5,0.0,0.0,0.0,0.0,1,0,0,21
1380010,780010,3.0,0.0,0.0,0.0,0.0,0,1,0,21
1380010,840001,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380010,1200003,3.0,0.0,0.0,0.0,0.0,1,0,0,32
1380010,1140001,1.0,0.0,0.0,0.0,0.0,1,0,0,21
1380010,1110001,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380010,1260020,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380010,1260021,3.0,0.0,0.0,0.0,0.0,1,0,0,34
1380010,1260022,3.0,0.0,0.0,0.0,0.0,1,0,0,50
1380010,1260023,3.0,0.0,0.0,0.0,0.0,0,1,0,31
1380010,1260025,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380010,1260026,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380011,780010,4.5,0.0,0.0,0.0,0.0,0,1,0,21
1380011,840001,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380011,1200003,8.0,0.0,0.0,0.0,0.0,1,0,0,32
1380011,1140001,6.5,0.0,0.0,0.0,0.0,1,0,0,21
1380011,1110001,1.5,0.0,0.0,0.0,0.0,1,0,0,21
1380011,1260005,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380011,1260020,3.0,0.0,0.0,0.0,0.0,1,0,0,21
1380011,1260021,3.0,0.0,0.0,0.0,0.0,1,0,0,34
1380011,1260022,3.0,0.0,0.0,0.0,0.0,1,0,0,50
1380011,1260023,3.0,0.0,0.0,0.0,0.0,0,1,0,31
1380011,1260025,3.0,0.0,0.0,0.0,0.0,1,0,0,21
