Model,Best Validation Accuracy,Test Accuracy,Test Loss,Total Training Time (seconds),All Data Prediction Accuracy,Test Precision (normal),Test Recall (normal),Test F1-Score (normal),Test Precision (hentai),Test Recall (hentai),Test F1-Score (hentai),Test Precision (porn),Test Recall (porn),Test F1-Score (porn),Test Precision (sexy),Test Recall (sexy),Test F1-Score (sexy),Test Precision (anime),Test Recall (anime),Test F1-Score (anime),Test Macro Avg Precision,Test Macro Avg Recall,Test Macro Avg F1-Score,Test Weighted Avg Precision,Test Weighted Avg Recall,Test Weighted Avg F1-Score,All Data Precision (normal),All Data Recall (normal),All Data F1-Score (normal),All Data Precision (hentai),All Data Recall (hentai),All Data F1-Score (hentai),All Data Precision (porn),All Data Recall (porn),All Data F1-Score (porn),All Data Precision (sexy),All Data Recall (sexy),All Data F1-Score (sexy),All Data Precision (anime),All Data Recall (anime),All Data F1-Score (anime),All Data Macro Avg Precision,All Data Macro Avg Recall,All Data Macro Avg F1-Score,All Data Weighted Avg Precision,All Data Weighted Avg Recall,All Data Weighted Avg F1-Score
ResNet50,0.8579626972740315,0.8547008547008547,0.4162457874018243,228.52270245552063,0.9011012282930961,0.8535031847133758,0.9178082191780822,0.8844884488448845,0.8380281690140845,0.815068493150685,0.8263888888888888,0.8992248062015504,0.8992248062015504,0.8992248062015504,0.8226950354609929,0.8111888111888111,0.8169014084507042,0.8646616541353384,0.8333333333333334,0.8487084870848709,0.8556225699050684,0.8553247326104925,0.8551424078941796,0.8546043817461649,0.8547008547008547,0.8543116295374555,0.9025974025974026,0.8834745762711864,0.892933618843683,0.8962962962962963,0.8981972428419936,0.8972457627118644,0.8855042016806722,0.8968085106382979,0.8911205073995772,0.9300106044538706,0.9164054336468129,0.9231578947368421,0.893305439330544,0.9123931623931624,0.9027484143763214,0.9015427888717571,0.9014557851582907,0.9014412396136576,0.9016498611684175,0.9014830508474576,0.9015084721399834
EfficientNetB0,0.8292682926829268,0.8461538461538461,0.4373672134176618,173.2169680595398,0.886277001270648,0.8627450980392157,0.9041095890410958,0.882943143812709,0.8345864661654135,0.7602739726027398,0.7956989247311828,0.8692307692307693,0.875968992248062,0.8725868725868726,0.8507462686567164,0.7972027972027972,0.8231046931407943,0.8157894736842105,0.8985507246376812,0.8551724137931035,0.8466196151552652,0.8472212151464753,0.8459012096129325,0.8464057569672032,0.8461538461538461,0.8452467418713628,0.8549848942598187,0.899364406779661,0.8766133195663397,0.8817204301075269,0.8695652173913043,0.8756006406833956,0.888421052631579,0.8978723404255319,0.8931216931216931,0.9359116022099447,0.8850574712643678,0.9097744360902256,0.8757961783439491,0.8814102564102564,0.8785942492012779,0.8873668315105636,0.8866539384542242,0.8867408677325864,0.8875204494684754,0.8866525423728814,0.8868150682119069
ViT-B_16,0.8694404591104734,0.8660968660968661,0.3794552556469909,2667.3058030605316,0.9131723845828039,0.9,0.9246575342465754,0.9121621621621622,0.782051282051282,0.8356164383561644,0.8079470198675497,0.92,0.8914728682170543,0.905511811023622,0.8740740740740741,0.8251748251748252,0.8489208633093526,0.8676470588235294,0.855072463768116,0.8613138686131386,0.8687544829897771,0.8663988259525471,0.8671711449951649,0.8675033816092975,0.8660968660968661,0.8663874095729853,0.8987473903966597,0.9120762711864406,0.9053627760252366,0.894300518134715,0.9151643690349947,0.9046121593291404,0.920995670995671,0.9053191489361702,0.9130901287553648,0.9529025191675794,0.9090909090909091,0.93048128342246,0.903125,0.9262820512820513,0.9145569620253164,0.914014219738925,0.9135865499061131,0.9136206619115036,0.9141380437955057,0.9135593220338983,0.91366787130005
