Epoch,Train Loss,Val Accuracy
1,1.4914158234825965,0.642754662840746
2,1.1644969624440047,0.7259684361549498
3,0.8914769697716062,0.7647058823529411
4,0.7183066066440243,0.787661406025825
5,0.5930570451238105,0.8020086083213773
6,0.5168449815046059,0.8034433285509326
7,0.46350660830525836,0.8106169296987088
8,0.40904009942995256,0.8149210903873745
9,0.36909192835271415,0.8206599713055954
10,0.3299852894580814,0.8278335724533716
11,0.2981462944464729,0.8292682926829268
12,0.2647535976053345,0.8278335724533716
13,0.23458663321375373,0.8263988522238164
14,0.21105011731578222,0.8235294117647058
