Epoch,Train Loss,Val Accuracy
1,0.769899188155373,0.8493543758967002
2,0.3482501531130114,0.8278335724533716
3,0.17106498581256996,0.8694404591104734
4,0.06917504255036043,0.8622668579626973
5,0.032846911862634304,0.8593974175035868
6,0.019181734000267785,0.8536585365853658
