Model,Best Validation Accuracy,Test Accuracy,Total Training Time (seconds),Test Loss,Test Precision (Weighted Avg),Test Recall (Weighted Avg),Test F1-Score (Weighted Avg)
ResNet18,0.876875,0.8620474406991261,3018.4129095077515,0.5246102012200897,0.8628917841156789,0.8620474406991261,0.8617380064705806
EfficientNetB0,0.894375,0.8707865168539326,8134.769147634506,0.39065265834108276,0.8716309853860627,0.8707865168539326,0.8703907458689251
MobileNetV3_Small,0.854375,0.83458177278402,3703.728175640106,0.49446889566962193,0.8353500057724116,0.83458177278402,0.8343746604582593
